#       n           ra          dec       rv      erv        i       vi      feh        r       xx        yy
#
        1  114.5370833   38.8814167  -21.510    2.280   17.404    1.176   -1.862    0.082   -2.130   -0.806
        2  114.5360000   38.8833333  -23.690    0.430   16.315    1.339   -3.412    0.089   -0.842    2.121
        3  114.5333750   38.8814167  -10.120    0.810   16.104    1.403   -3.451    0.102    2.279   -0.806
        3  114.5333333   38.8814444   -9.290    2.260   16.104    1.403   -1.848    0.103    2.328   -0.764
        4  114.5345417   38.8837500  -12.010    2.270   16.941    1.239   -1.828    0.118    0.892    2.757
        5  114.5327500   38.8824722  -28.080    2.370   18.556    1.056   -1.772    0.131    3.022    0.806
        6  114.5358333   38.8845278  -19.130    2.270   16.837    1.269   -1.862    0.158   -0.644    3.945
        7  114.5319167   38.8838889  -17.970    3.140   16.980    1.224   -1.455    0.203    4.012    2.970
        8  114.5366667   38.8785833  -33.980    0.640   16.124    1.398   -3.447    0.208   -1.635   -5.133
        9  114.5319583   38.8793056  -10.220    0.430   16.487    1.327   -3.369    0.226    3.963   -4.030
       10  114.5299583   38.8826389  -22.570    2.280   17.362    1.163   -1.360    0.261    6.340    1.061
       11  114.5393333   38.8850833  -11.760    2.270   17.244    1.203   -1.550    0.262   -4.804    4.794
       12  114.5419583   38.8817500  -16.410    0.670   15.807    1.514   -3.501    0.304   -7.925   -0.297
       13  114.5414583   38.8845278  -14.820    2.320   18.308    0.960   -2.088    0.321   -7.331    3.946
       14  114.5403750   38.8780278  -16.790    0.580   15.924    1.461   -3.484    0.327   -6.043   -5.981
       15  114.5386250   38.8765833  -27.390    2.310   18.237    1.020   -1.890    0.353   -3.963   -8.187
       15  114.5386250   38.8765833  -29.970    2.290   18.237    1.020   -1.916    0.353   -3.963   -8.187
       16  114.5321250   38.8876944  -24.270    0.660   15.778    1.484   -3.517    0.380    3.764    8.781
       17  114.5424167   38.8860000  -15.950    0.560   15.923    1.466   -3.483    0.407   -8.470    6.194
       18  114.5394583   38.8755556  -14.060    2.280   17.685    1.139   -1.473    0.425   -4.954   -9.757
       19  114.5434167   38.8766389  -22.230    2.480   19.701    0.853   -1.436    0.488   -9.660   -8.102
       20  114.5263333   38.8774167  -29.270    0.440   16.413    1.324   -3.389    0.505   10.650   -6.914
       21  114.5245833   38.8811111  -27.170    0.530   16.230    1.339   -3.434    0.510   12.730   -1.272
       21  114.5245833   38.8811389  -24.910    2.280   16.230    1.339   -1.660    0.510   12.730   -1.229
       22  114.5470833   38.8853056  -20.370    2.280   17.798    1.105   -1.907    0.580  -14.017    5.134
       23  114.5478333   38.8840556   -5.150    2.270   17.370    1.146   -1.962    0.592  -14.909    3.225
       24  114.5429167   38.8737778  -30.010    2.360   18.918    0.968   -1.848    0.600   -9.066  -12.471
       25  114.5267500   38.8893056  -19.320    2.280   17.542    1.152   -1.546    0.602   10.153   11.242
       26  114.5482500   38.8849444  -12.220    0.610   15.940    1.440   -3.485    0.624  -15.404    4.583
